Year,WAR,Homers,Hits,RBIs,Runs
1914,0,0,2,0,1
1915,1.8,4,29,20,16
1916,1.7,3,37,16,18
1917,2.1,2,40,14,14
1918,5.1,11,95,61,50
1919,9.4,29,139,113,103
1920,11.9,54,172,135,158
1921,12.9,59,204,168,177
1922,6.3,35,128,96,94
1923,14.1,41,205,130,151
1924,11.7,46,200,124,143
1925,3.5,25,104,67,61
1926,11.5,47,184,153,139
1927,12.4,60,192,165,158
1928,10.1,54,173,146,163
1929,8,46,172,154,121
1930,10.3,49,186,153,150
1931,10.3,46,199,162,149
1932,8.3,41,156,137,120
1933,6.4,34,138,104,97
1934,5.1,22,105,84,78
1935,0.2,6,13,12,13
