Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1959,1.5,3,5,48,127,28,1.533,1
1960,-0.5,3,6,69,73,54,1.673,2
1961,4.4,13,12,166,136,76,1.443,3
1962,5.6,15,13,208,151,74,1.151,4
1963,2.4,18,9,204,105,96,1.257,5
1964,6,19,12,245,127,96,1.169,6
1965,6.3,20,12,270,126,102,1.157,7
1966,6.1,21,12,225,148,76,1.027,8
1967,2.5,13,7,147,110,58,1.089,9
1968,11.2,22,9,268,258,38,0.853,10
1969,10.4,20,13,269,164,76,1.102,11
1970,8.9,23,7,274,133,102,1.19,12
1971,4.9,16,13,185,119,83,1.185,13
1972,7,19,11,208,139,76,1.129,14
1973,3.9,12,10,142,133,60,1.108,15
1974,1.5,11,13,129,94,102,1.417,16
1975,-0.2,3,10,60,75,61,1.67,17
