Year,WAR,Homers,Hits,RBIs,Runs,Season
1914,0,0,2,0,1,1
1915,1.8,4,29,20,16,2
1916,1.7,3,37,16,18,3
1917,2.1,2,40,14,14,4
1918,5.1,11,95,61,50,5
1919,9.4,29,139,113,103,6
1920,11.9,54,172,135,158,7
1921,12.9,59,204,168,177,8
1922,6.3,35,128,96,94,9
1923,14.1,41,205,130,151,10
1924,11.7,46,200,124,143,11
1925,3.5,25,104,67,61,12
1926,11.5,47,184,153,139,13
1927,12.4,60,192,165,158,14
1928,10.1,54,173,146,163,15
1929,8,46,172,154,121,16
1930,10.3,49,186,153,150,17
1931,10.3,46,199,162,149,18
1932,8.3,41,156,137,120,19
1933,6.4,34,138,104,97,20
1934,5.1,22,105,84,78,21
1935,0.2,6,13,12,13,22
