Year,WAR,Homers,Hits,RBIs,Runs,Season
1986,3.5,16,92,48,72,1
1987,5.8,25,144,59,99,2
1988,6.2,24,152,58,97,3
1989,8,19,144,58,96,4
1990,9.7,33,156,114,104,5
1991,7.9,25,149,116,95,6
1992,9,34,147,103,109,7
1993,9.9,46,181,123,129,8
1994,6.2,37,122,81,89,9
1995,7.5,33,149,104,109,10
1996,9.6,42,159,129,122,11
1997,8.1,40,155,101,123,12
1998,8.1,37,167,122,120,13
1999,3.8,34,93,83,91,14
2000,7.7,49,147,106,129,15
2001,11.9,73,156,137,129,16
2002,11.8,46,149,110,117,17
2003,9.2,45,133,90,111,18
2004,10.6,45,135,101,129,19
2005,0.6,5,12,10,8,20
2006,4,26,99,77,74,21
2007,3.4,28,94,66,75,22
