Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1900,-0.6,0,3,15,5.08,19,1.693,1
1901,9.1,20,17,221,2.41,90,1.146,2
1902,4.1,14,17,164,2.12,67,1.135,3
1903,9.9,30,13,267,2.26,92,1.149,4
1904,5.5,33,12,212,2.03,83,1.044,5
1905,9.1,31,9,206,1.28,48,0.933,6
1906,2.5,22,12,128,2.97,88,1.271,7
1907,7.6,24,12,178,2,70,0.962,8
1908,11.1,37,11,259,1.43,62,0.827,9
1909,9.2,25,6,149,1.14,35,0.828,10
1910,7.3,27,9,184,1.89,67,1.106,11
1911,7.4,26,13,141,1.99,68,1.111,12
1912,7.3,23,12,134,2.12,73,1.113,13
1913,6.9,25,11,93,2.06,70,1.02,14
1914,0.7,24,13,80,3,104,1.08,15
1915,-1.2,8,14,57,3.58,74,1.177,16
1916,-0.2,4,4,19,3.01,25,1.098,17
