Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1890,2,9,7,39,3.47,57,1.185,1
1891,7.1,27,22,147,2.85,134,1.348,2
1892,14.1,36,12,168,1.93,97,1.062,3
1893,11.7,34,16,102,3.36,158,1.289,4
1894,10.1,26,21,108,3.94,179,1.454,5
1895,12.1,35,10,121,3.26,134,1.185,6
1896,10.1,28,15,140,3.24,149,1.301,7
1897,7.5,21,19,88,3.78,141,1.311,8
1898,6.9,25,13,101,2.53,106,1.133,9
1899,8.5,26,16,111,2.58,106,1.116,10
1900,7.5,19,19,115,3,107,1.161,11
1901,12.6,33,10,158,1.62,67,0.972,12
1902,10,32,11,160,2.15,92,1.048,13
1903,7.1,28,9,176,2.08,79,0.969,14
1904,9.5,26,16,200,1.97,83,0.937,15
1905,7.6,18,19,210,1.82,65,0.867,16
1906,2.1,13,21,140,3.19,102,1.088,17
1907,7.6,21,15,147,1.99,76,0.982,18
1908,9.6,21,11,150,1.26,42,0.893,19
1909,3.2,19,15,109,2.26,74,1.108,20
1910,2.4,7,10,58,2.53,46,1.078,21
1911,0.8,7,9,55,3.78,53,1.306,22
