Year,WAR,Hits,Homers,RBIs,Runs,Season
1951,1.4,91,13,65,61,1
1952,6.5,171,23,87,94,2
1953,5.3,136,21,92,105,3
1954,6.9,163,27,102,129,4
1955,9.5,158,37,99,121,5
1956,11.2,188,52,130,132,6
1957,11.3,173,34,94,121,7
1958,8.7,158,42,97,127,8
1959,6.6,154,31,75,104,9
1960,6.3,145,40,94,119,10
1961,10.5,163,54,128,131,11
1962,5.9,121,30,89,96,12
1963,2.9,54,15,35,40,13
1964,4.8,141,35,111,92,14
1965,1.8,92,19,46,44,15
1966,3.5,96,23,56,40,16
1967,3.9,108,22,55,63,17
1968,2.6,103,18,54,57,18
