Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1911,8.4,28,13,227,2.57,105,1.128,1
1912,6.4,19,17,195,2.81,97,1.27,2
1913,6.8,22,8,159,2.79,95,1.185,3
1914,8.4,27,15,214,2.38,94,1.135,4
1915,10.9,31,10,241,1.22,51,0.842,5
1916,10.6,33,12,167,1.55,67,0.959,6
1917,9.3,30,13,200,1.83,79,1.01,7
1918,0.7,2,1,15,1.73,5,0.846,8
1919,7.4,16,11,121,1.72,45,0.928,9
1920,12.1,27,14,173,1.91,77,1.112,10
1921,4.7,15,13,77,3.39,95,1.266,11
1922,4.6,16,13,48,3.63,99,1.29,12
1923,5.2,22,12,72,3.19,108,1.108,13
1924,2.1,12,5,33,3.03,57,1.228,14
1925,4.6,15,11,63,3.39,89,1.267,15
1926,0.4,12,10,47,3.05,68,1.108,16
1927,2.8,21,10,48,2.52,75,1.116,17
1928,6.1,16,9,59,3.36,91,1.227,18
1929,3.4,9,8,33,3.89,57,1.303,19
1930,2.5,0,3,6,9.14,22,2.123,20
