Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1984,1.9,9,4,126,97,64,1.313,1
1985,2.7,7,5,74,130,36,1.22,2
1986,8.9,24,4,238,169,70,0.969,3
1987,9.4,20,9,256,154,93,1.175,4
1988,7.1,18,12,291,141,86,1.057,5
1989,5.7,17,11,230,132,88,1.216,6
1990,10.6,21,6,209,211,49,1.082,7
1991,7.9,18,10,241,165,79,1.047,8
1992,8.8,18,11,208,174,66,1.074,9
1993,2.5,11,14,160,104,95,1.263,10
1994,6.1,9,7,168,176,54,1.143,11
1995,1.9,10,5,132,117,65,1.436,12
1996,7.7,10,13,257,139,98,1.327,13
1997,11.9,21,7,292,222,60,1.03,14
1998,8.1,20,6,271,174,69,1.095,15
1999,2.9,14,10,163,102,96,1.465,16
2000,4.6,13,8,188,131,84,1.312,17
2001,5.6,20,3,213,128,86,1.257,18
2002,2.6,13,6,192,102,87,1.306,19
2003,4.1,17,9,190,113,92,1.214,20
2004,5.4,18,4,218,145,71,1.157,21
2005,7.8,13,8,185,226,44,1.008,22
2006,3.5,7,6,102,194,29,1.041,23
2007,1.5,6,6,68,108,46,1.31,24
