Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1967,6,16,13,170,122,77,1.203,1
1968,6.8,16,12,205,137,68,0.978,2
1969,7.2,25,7,208,165,67,1.039,3
1970,5.8,18,12,283,143,91,1.077,4
1971,10.1,20,10,289,194,56,0.946,5
1972,5.2,21,12,249,115,85,1.115,6
1973,10.6,19,10,251,175,67,0.976,7
1974,6.1,11,11,201,112,84,1.161,8
1975,7.8,22,9,243,146,74,1.088,9
1976,5.5,14,11,235,126,78,1.063,10
1977,7.9,21,6,196,149,75,1.014,11
1978,4.8,16,14,226,123,83,1.182,12
1979,3.3,16,6,131,121,75,1.153,13
1980,1.7,10,8,101,99,68,1.185,14
1981,4,14,2,87,140,47,1.118,15
1982,-0.8,5,13,62,67,68,1.617,16
1983,2.5,9,14,135,103,91,1.242,17
1984,4,15,11,131,105,104,1.17,18
1985,5,16,11,134,136,84,1.223,19
1986,2.6,7,13,103,106,79,1.338,20
