Year,WAR,Hits,Homers,RBIs,Runs,Season
1905,0.2,36,1,15,19,1
1906,2.5,113,1,34,45,2
1907,6.8,212,5,119,97,3
1908,6.1,188,4,108,88,4
1909,9.8,216,9,107,116,5
1910,10.5,194,8,91,106,6
1911,10.7,248,8,127,147,7
1912,9.2,226,7,83,120,8
1913,7.4,167,4,67,70,9
1914,5.6,127,2,57,69,10
1915,9.5,208,3,99,144,11
1916,8,201,5,68,113,12
1917,11.3,225,6,102,107,13
1918,6.6,161,3,62,81,14
1919,5.5,191,1,67,92,15
1920,3.3,143,2,63,87,16
1921,6.7,197,12,101,124,17
1922,6.7,211,4,99,99,18
1923,5.5,189,6,88,103,19
1924,5.4,211,4,79,114,20
1925,5.8,157,12,102,97,21
1926,1.7,79,4,62,48,22
1927,4.4,175,5,93,104,23
1928,1.9,114,1,40,54,24
