Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1907,2.7,5,9,71,129,23,1.088,1
1908,5.1,14,14,160,138,47,0.964,2
1909,4,13,25,164,111,73,1.117,3
1910,11.2,25,17,313,183,56,0.914,4
1911,8.5,25,13,207,173,68,1.123,5
1912,13.5,33,12,303,243,57,0.908,6
1913,14.6,36,7,243,259,44,0.78,7
1914,11.9,28,18,225,164,71,0.971,8
1915,11.2,27,13,203,191,58,0.933,9
1916,9.7,25,20,228,147,78,1.006,10
1917,6.8,23,16,188,120,80,0.969,11
1918,10.2,23,13,162,214,46,0.954,12
1919,10.5,20,14,147,215,48,0.985,13
1920,2.5,8,10,78,119,50,1.128,14
1921,4.8,17,14,143,117,103,1.352,15
1922,5.5,15,16,105,130,93,1.364,16
1923,4.6,17,12,130,109,101,1.287,17
1924,6.8,23,7,158,149,84,1.116,18
1925,5.1,20,7,108,138,78,1.288,19
1926,3.8,15,16,125,107,105,1.274,20
1927,-0.4,5,6,48,80,61,1.291,21
