Year,WAR,Hits,Homers,RBIs,Runs,Season
1951,3.9,127,20,68,59,1
1952,1.2,30,4,23,17,2
1953,0,0,0,0,0,3
1954,10.6,195,41,110,119,4
1955,9,185,51,127,123,5
1956,7.6,171,36,84,101,6
1957,8.3,195,35,97,112,7
1958,10.2,208,29,96,121,8
1959,7.8,180,34,104,125,9
1960,9.5,190,29,103,107,10
1961,8.7,176,40,123,129,11
1962,10.5,189,29,141,130,12
1963,10.6,187,38,103,115,13
1964,11,171,47,111,121,14
1965,11.2,177,52,112,118,15
1966,9,159,37,103,99,16
1967,4.3,128,22,70,83,17
1968,6.2,144,23,79,84,18
1969,3,114,13,58,64,19
1970,5.2,139,28,83,94,20
1971,6.3,113,18,61,82,21
1972,1.8,61,8,22,35,22
1973,0,44,6,25,24,23
