Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1956,1.8,5,5,55,152,29,1.273,1
1957,6.1,17,9,148,153,66,1.167,2
1958,2.9,12,13,131,100,98,1.351,3
1959,5.8,17,13,242,122,104,1.219,4
1960,6.9,15,14,246,139,85,1.063,5
1961,5.4,13,10,182,116,100,1.307,6
1962,5.3,25,9,232,128,99,1.113,7
1963,4.3,19,17,251,114,92,1.091,8
1964,8,18,16,237,147,78,0.965,9
1965,3.2,23,12,210,118,95,1.09,10
1966,2.8,13,16,177,96,104,1.184,11
1967,4.6,13,16,196,112,86,1.167,12
1968,4.4,14,12,155,128,57,1.075,13
1969,-0.2,5,4,24,75,31,1.34,14
