Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1901,5.3,17,13,90,3.31,96,1.235,1
1902,5.8,20,15,107,3.3,110,1.267,2
1903,7.2,23,16,176,2.38,89,1.137,3
1904,8.5,26,17,201,2.17,86,1.111,4
1905,6.6,24,12,210,2.26,87,1.044,5
1906,4.3,19,6,108,2.25,53,1.058,6
1907,6.2,24,16,183,2.2,84,1.068,7
1908,7.1,14,16,135,2.17,59,1.014,8
1909,5.1,19,10,132,1.76,52,1.044,9
1910,2,16,10,123,2.01,56,1.091,10
1911,6.3,23,8,149,2.1,60,1.223,11
1912,4.6,26,6,110,2.22,64,1.221,12
1913,2.9,18,10,151,2.6,70,1.104,13
1914,1.8,15,7,110,2.87,59,1.187,14
1915,6.3,21,11,147,2.08,62,0.991,15
1916,3.5,16,15,88,2.33,61,1.146,16
1917,3,5,6,26,1.79,26,1.092,17
