Year,WAR,Wins,Losses,Strikeouts,ERA,Earned Runs,WHIP,Season
1925,2.1,10,12,116,98,120,1.716,1
1926,7.4,13,13,194,165,97,1.271,2
1927,5.4,20,13,174,132,116,1.258,3
1928,6.9,24,8,183,155,93,1.116,4
1929,7.1,20,6,170,149,104,1.304,5
1930,9.5,28,5,209,185,101,1.144,6
1931,10.1,31,4,175,217,84,1.077,7
1932,9,25,10,188,160,101,1.193,8
1933,7.7,24,8,114,134,113,1.318,9
1934,-0.3,8,8,43,73,84,1.655,10
1935,9.5,20,12,121,175,105,1.223,11
1936,11.1,17,12,130,189,90,1.192,12
1937,9.6,17,9,153,159,101,1.344,13
1938,5.1,14,4,199,160,65,1.35,14
1939,7,15,4,81,185,63,1.246,15
1940,2.8,7,6,62,112,73,1.363,16
1941,0,7,7,54,95,84,1.47,17
